university, faculty, field_name, program_name,fee/term
จุฬาลงกรณ์มหาวิทยาลัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์, 25500
จุฬาลงกรณ์มหาวิทยาลัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล, 25500
มหาวิทยาลัยเกษตรศาสตร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์, 19500
มหาวิทยาลัยเกษตรศาสตร์, คณะวิศวกรรมศาสตร์ กำแพงแสน, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์, 19500
มหาวิทยาลัยเกษตรศาสตร์, คณะวิศวกรรมศาสตร์ ศรีราชา, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์, 29100
มหาวิทยาลัยเกษตรศาสตร์, คณะวิทยาศาสตร์และวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์, 19500
มหาวิทยาลัยกาฬสินธุ์, คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์, 10500
มหาวิทยาลัยขอนแก่น, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์, 20000
มหาวิทยาลัยเชียงใหม่, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์, 23000
มหาวิทยาลัยเชียงใหม่, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย, 50000
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ), 70000
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี, 30000
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์, 25000
มหาวิทยาลัยเทคโนโลยีสุรนารี, สำนักวิชาวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ วิศวกรรมคอมพิวเตอร์, 16425
มหาวิทยาลัยธรรมศาสตร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์, 18900
มหาวิทยาลัยนครพนม, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ, 9025
มหาวิทยาลัยนราธิวาสราชนครินทร์, วิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ วิศวกรรมคอมพิวเตอร์, 14000
มหาวิทยาลัยนเรศวร, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์, 16000
มหาวิทยาลัยมหิดล, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์, 30000
มหาวิทยาลัยรามคำแหง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)), 26875
มหาวิทยาลัยรามคำแหง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)), 50408
มหาวิทยาลัยวลัยลักษณ์, วิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์, 32700
มหาวิทยาลัยศรีนครินทรวิโรฒ, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์, 25000
มหาวิทยาลัยสงขลานครินทร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์, 18000
มหาวิทยาลัยสงขลานครินทร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมปัญญาประดิษฐ์, 28000
มหาวิทยาลัยอุบลราชธานี, คณะวิศวกรรมศาสตร์, วิศวกรรมปัญญาประดิษฐ์, วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ, 28000
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์, 25000
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ), 90000
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์และความปลอดภัยไซเบอร์, 50000
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง, คณะวิศวกรรมศาสตร์, วิศวกรรมปัญญาประดิษฐ์, วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ), 175000
มหาวิทยาลัยราชภัฏสวนสุนันทา, คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์, 18500
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที), 12253
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วิศวกรรมคอมพิวเตอร์, 20000
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์, 15000
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์ 4 ปี, 15000
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์, 13750
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล, 13750
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย, คณะวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร, 13750
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน, คณะวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์, 12000
มหาวิทยาลัยเกษมบัณฑิต, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์, 35250
มหาวิทยาลัยเทคโนโลยีมหานคร, วิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์, 37500
มหาวิทยาลัยธุรกิจบัณฑิตย์, วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมคอมพิวเตอร์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์, 42125
มหาวิทยาลัยรังสิต, วิทยาลัยวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ.วิศวกรรมคอมพิวเตอร์, 49600
มหาวิทยาลัยสยาม, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์, 37938
มหาวิทยาลัยหอการค้าไทย, คณะวิศวกรรมศาสตร์, วิศวกรรมคอมพิวเตอร์, วศ.บ (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์), 42500
สถาบันการจัดการปัญญาภิวัฒน์, คณะวิศวกรรมศาสตร์และเทคโนโลยี, วิศวกรรมปัญญาประดิษฐ์, วศ.บ สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์, 48000
